timestamp,tweet_text,username,all_hashtags
2019-12-14 12:57:41,b'@sweetestthreat worst ever. now I don\xe2\x80\x99t like Batman no more because of this man.',b'egyptianunicorn',[]
2019-12-14 12:57:41,b'@Nellsartandcos Brb packing a pair of socks and all my Batman movies \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8',b'beccabracadabra',[]
2019-12-14 12:57:29,"b""@MiniDandG @WarnerBrosUK The news of Affleck becoming Batman was almost as bad as hearing Heath Ledger was to become the Joker. Both totally smashed it though. I'm really not pleased that R Patz is the new batman, but I've learnt to see him in action before I slate him.""",b'Let_Them_Fly',[]
2019-12-14 12:57:29,"b'RT @zeusFanHouse: #Batman Nemesis Joker Helps Trump Get Re-Elected In New #ComicComic book author #FrankMiller\xe2\x80\x99s latest publication, #The\xe2\x80\xa6'",b'SerendipityDizl',"['Batman', 'Comic', 'FrankMiller']"
2019-12-14 12:57:28,b'RT @RealKevinConroy: The definitive Batman voice finally gets his Dark Knight moment in front of the camera - The Washington Post https://t\xe2\x80\xa6',b'JuNiTo92',[]
2019-12-14 12:57:17,"b""@KyleBrandt @Marvel Cause it's not black panther that's batman""",b'realSGB1983',[]
2019-12-14 12:57:06,b'RT @LessShot: BATMAN &amp; ROBIN (1997)Cinematography by Stephen GoldblattDirected by Joel SchumacherSubmitted by @crusader754 https://t.co/\xe2\x80\xa6',b'asteroid_andy',[]
2019-12-14 12:57:00,b'@WarnerBrosUK Ben Affleck !! Ben Affleck is my best Batman.',b'maonam',[]
2019-12-14 12:56:58,b'#nw Batman Begins https://t.co/0MS55a2nCX',b'UMarvelite',['nw']
2019-12-14 12:56:57,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'MrSlay3rr',[]
2019-12-14 12:56:55,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'WillGray_06',[]
2019-12-14 12:56:47,b'RT @LessShot: BATMAN &amp; ROBIN (1997)Cinematography by Stephen GoldblattDirected by Joel SchumacherSubmitted by @crusader754 https://t.co/\xe2\x80\xa6',b'iltrago',[]
